Date,Description,Amount,Category
2025-01-01,Salary,5000.00,Income
2025-01-02,Grocery Store,-150.50,Groceries
2025-01-03,Restaurant,-75.25,Dining
2025-01-04,Internet Bill,-79.99,Utilities
2025-01-05,Freelance Work,1200.00,Income
2025-01-06,Gas Station,-45.30,Transportation
2025-01-07,Online Shopping,-230.75,Shopping
2025-01-08,Phone Bill,-49.99,Utilities
2025-01-09,Salary,5000.00,Income
2025-01-10,Supermarket,-210.30,Groceries
2025-01-11,Restaurant,-65.50,Dining
2025-01-12,Electricity Bill,-120.00,Utilities
2025-01-13,Consulting,850.00,Income
2025-01-14,Public Transport,-35.20,Transportation
2025-01-15,Clothing Store,-189.99,Shopping
